brand
"Amcobal 500mcg Injection"
"Anedec 50mg Injection"
"Alferon 3MIU Injection"
"Alphabetas 80mg Injection"
"Aptacef T 250mg/31.25mg Injection"
"Ayufen P Injection"
"Astiflam Fast 75mg Injection"
"Aamcart 100mg Injection"
"Aurodec 50mg Injection"
"Anset 8mg Injection"
"Azi-Num 1gm Injection"
"Amcetam 200mg Injection"
"Acmacin 500mg Injection"
"Anofer S 50mg Injection"
"Abdopime 500mg Injection"
"Artinova 150mg Injection"
"Agsef 1gm Injection"
"Aztrohigh 1000mg Injection"
"Argipress 20units Injection"
"Alcizon 500mg Injection"
"Amogest 500 Injection"
"Actovis Forte Injection"
"Amikanit 100mg Injection"
"Ardec 50mg Injection"
"Aminodec 50mg Injection"
"Amico 500mg Injection"
"Artelet 150mg Injection"
"Amimac 100mg Injection"
"Antigest-IV Injection"
"Appime 250mg Injection"
"Adpime 250mg Injection"
"Aquaril 75mg Injection"
"Amcin 500mg Injection"
"Amfy 50mg Injection"
"Azaplast Injection"
"Amoluck Injection"
"Ampilon 500mg Injection"
"Actitop 100mg Injection"
"Amisal 250 Injection"
"Amecef Injection"
"ATSA Injection"
"Arocef Plus 1000mg/500mg Injection"
"Amox C 1000mg Injection"
"Amiton 500mg Injection"
"Axocef T 1000mg/125mg Injection"
"Allitocob Plus Injection"
"Acuzid 1000mg Injection"
"Artunit 60mg Injection"
"Actee Injection Dispo Pack"
"Amistar 500mg Injection"
"Axone 500mg Injection"
"AB Xone 250mg Injection"
"A Arti 60mg Injection"
"Avastimab 400mg Injection"
"Ativak 500mg Injection"
"Amiser 100mg Injection"
"Allceft-SB 1500 Injection"
"Azopen 500mg Injection"
"Andysan 25mg Injection"
"Amcef S 500mg/250mg Injection"
"Artemisin 120mg Injection"
"Arocef Plus 250mg/125mg Injection"
"Airabzo 20mg Injection"
"Artiparam 150mg Injection"
"Adriblastina Injection"
"Amikos 500mg Injection"
"Amibiotic 100mg Injection"
"Alpagen 40mg Injection"
"Aldec 50mg Injection"
"Amiget 500mg Injection"
"Acimero 250mg Injection"
"Aftron S 100 Injection"
"Adnilon 80mg Injection"
"Amicom 500mg Injection"
"Acrovin 500mg Injection"
"ACE 500MG/500MG INJECTION"
"Alnamik 500mg Injection"
"Azopip 4.5gm Injection"
"Astwin 1mg Injection"
"Aarbact 4gm/0.5gm Injection"
"Anitaz 4000mg/500mg Injection"
"Acu ND 50mg Injection"
"A Rex 50mg Injection"
"Aneudox 12 Forte Injection"
"Aticef 1000 mg/500 mg Injection"
"Acucort 500mg Injection"
"Artisure 150mg Injection"
"Amiever 500mg Injection"
"Awaydol-Aqua Injection"
"Amvulac 1000mg/200mg Injection"
"Axera Ptz 4000mg/500mg Injection"
"Allexone 1.5 Injection"
"Amichem 500mg Injection"
"Amid 500mg Injection"
"Abdocin 40mg Injection"
"Axone 250mg Injection"
"Alfacillin 500mg Injection"
"Alkacin 500mg Injection"
"Ambol D 50mg Injection"
"Anizone S 500mg/500mg Injection"
"Alvomer 1gm Injection"
"Alicef 1000mg Injection"
"Acixone-SB 1500mg Injection"
"Amikab 250mg Injection"
"Amikoside 100mg Injection"
"Anescaine 5% Injection"
"Afdol Injection"
"Atb 25mg/ml Injection"
"Acostin 3Million IU Injection"
"Antorex 40mg Injection"
"Astazo-S 1.5gm Injection"
"Axicef 1000mg Injection"
"Acetam 200mg Injection"
"Amk 100mg Injection"
"Actam-TZ Injection"
"Abipime T 250mg/31.25mg Injection"
"Adnexa 10mg Injection"
"Avastimab 100mg Injection"
"Amigo 100mg Injection"
"Afesan 150mg Injection"
"Ancef 250mg Injection"
"Aeropan 40mg Injection"
"Axhit 150mg Injection"
"Adeone TAZ 1.125gm Injection"
"Allencef Injection"
"Acycloveer G 500mg Injection"
"Augtaz 500 mg/62.5 mg Injection"
"Adcob 100mg Injection"
"Amitop  500mg Injection"
